modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
FIAT DOBLO ESSENCE 1.8 FLEX 16V 5P,FIAT,2012,205000,1.8,Flex,Manual,Hidráulica,Outra,4,8,1,1,1,1,1,0,0,0,0,0,29000
FORD FUSION TITANIUM 2.0 GTDI ECO. AWD AUT.,FORD,2013,89000,2,Gasolina,Automático,Elétrica,Vermelho,4,8,1,1,1,1,1,1,1,1,1,0,78500
FORD FIESTA SED. 1.6 8V FLEX 4P,FORD,2008,0,1.6,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,1,1,1,1,0,0,0,14000
FIAT UNO VIVACE CELEB. 1.0 EVO F.FLEX 8V 5P,FIAT,2011,0,1,Flex,Manual,Hidráulica,Prata,4,5,1,0,1,1,1,0,0,0,0,0,19000
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2015,60000,1.8,Flex,Automático,Hidráulica,Branco,4,0,1,1,1,1,1,1,1,1,0,0,56500
FIAT DOBLO CARGO 1.8 MPI FIRE FLEX 8V/16V 4P,FIAT,2009,99000,1.8,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,0,1,1,0,0,0,20000
KIA MOTORS SPORTAGE EX 2.0 16V/ 2.0 16V FLEX AUT.,KIA MOTORS,2013,68000,2,Flex,Automático,Elétrica,Prata,4,6,1,1,1,1,1,1,1,1,1,0,65000
