modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
PEUGEOT 308 ALLURE 1.6 FLEX 16V 5P MEC.,PEUGEOT,2013,65000,1.6,Flex,Manual,Elétrica,Cinza,4,9,1,1,1,0,1,1,1,1,0,0,28000.0
PEUGEOT 208 ACTIVE PACK 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,73000,1.6,Flex,Automático,Elétrica,Branco,4,1,1,1,1,0,1,1,1,1,0,0,38900.0
PEUGEOT 206 SELECTION/ SENSATION 1.0 16V 5P,PEUGEOT,2001,1880000,1.0,Gasolina,Manual,Mecânica,Vermelho,4,1,1,0,1,0,0,0,0,0,0,0,7000.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2009,170000,1.4,Flex,Manual,Hidráulica,Preto,4,5,1,1,1,1,1,1,1,0,0,0,18500.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,130000,1.4,Flex,Manual,Hidráulica,Prata,4,5,1,1,1,1,1,1,1,0,0,0,16000.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2011,99500,1.4,Flex,Manual,Hidráulica,Cinza,4,9,1,1,1,1,1,0,1,0,0,0,18000.0
PEUGEOT EXPERT BUSINESS PACK 1.6 TURBO DIESEL,PEUGEOT,2020,33000,1.6,Diesel,Manual,Hidráulica,Prata,2,6,1,1,1,1,1,1,1,1,0,0,110000.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2013,90000,1.4,Flex,Manual,Hidráulica,Azul,4,1,1,1,1,1,0,0,1,0,0,0,0.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2011,135896,1.4,Flex,Manual,Hidráulica,Preto,4,5,1,1,1,1,1,0,1,0,0,0,19000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,160000,1.4,Flex,Manual,Hidráulica,Prata,4,8,1,1,1,1,0,0,1,0,0,0,21900.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2013,147000,1.4,Flex,Manual,Hidráulica,Branco,4,1,1,1,1,1,0,1,0,1,0,0,9500.0
PEUGEOT 208 ACTIVE PACK 1.2 FLEX 12V 5P MEC.,PEUGEOT,2018,38000,1.2,Flex,Manual,Elétrica,Vermelho,4,7,1,1,1,0,1,1,1,0,0,0,43500.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2012,135000,1.4,Flex,Manual,Mecânica,Prata,4,8,0,1,1,1,1,1,1,0,0,0,23900.0
PEUGEOT 207 X-LINE 1.4 FLEX 8V 5P,PEUGEOT,2009,152000,1.4,Flex,Manual,Hidráulica,Vermelho,4,2,1,1,1,1,1,0,1,0,0,0,16500.0
PEUGEOT 206,PEUGEOT,2005,130000,1.0,Gasolina,Manual,Hidráulica,Prata,4,3,1,1,1,1,1,0,0,0,0,0,10000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2011,120000,1.4,Flex,Manual,Hidráulica,Preto,4,2,1,1,1,1,1,1,1,0,1,0,18500.0
PEUGEOT 206 FELINE 1.4/ 1.4 FLEX 8V 5P,PEUGEOT,2008,1999,1.4,Flex,Manual,Hidráulica,Preto,2,9,0,1,1,1,1,0,1,0,0,0,9000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,200,1.4,Gás Natural,Manual,Hidráulica,Branco,4,7,1,1,1,1,1,1,1,1,0,0,19000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P AUT.,PEUGEOT,2012,127000,2.0,Flex,Automático,Hidráulica,Cinza,4,4,1,1,1,1,1,1,1,1,1,0,31000.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P AUT.,PEUGEOT,2012,102000,1.6,Flex,Automático,Hidráulica,Azul,4,7,1,1,1,1,1,1,1,1,0,0,20800.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2010,9521,1.4,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,1,0,0,15900.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2009,170000,1.4,Gasolina,Manual,Hidráulica,Preto,4,8,1,1,1,1,1,0,1,0,0,0,10800.0
PEUGEOT 206,PEUGEOT,2005,0,1.0,Gasolina,Manual,Hidráulica,Prata,4,8,0,0,1,1,1,0,1,0,0,0,11500.0
PEUGEOT 308 FELINE 2.0 FLEX 16V 5P AUT.,PEUGEOT,2013,120000,2.0,Flex,Automático,Elétrica,Cinza,4,3,1,1,1,1,1,1,1,1,1,0,33000.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,87000,1.6,Flex,Automático,Elétrica,Branco,4,4,1,1,1,1,1,1,1,1,0,0,51900.0
PEUGEOT 205 GTI 1.4,PEUGEOT,2005,120,1.4,Flex,Automático,Hidráulica,Prata,4,6,1,1,1,1,0,1,0,0,0,0,9000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,111000,2.0,Flex,Manual,Elétrica,Azul,4,6,1,1,1,0,1,1,1,1,0,0,26000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2009,117000,1.4,Flex,Manual,Hidráulica,Prata,4,9,1,1,1,1,1,0,0,0,1,0,17800.0
PEUGEOT 207 XS 1.6 FLEX 16V 5P,PEUGEOT,2010,0,1.6,Flex,Manual,Hidráulica,Verde,4,4,1,1,1,1,1,1,0,0,0,0,21000.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2010,0,1.4,Flex,Manual,Hidráulica,Prata,4,8,0,1,1,1,1,1,0,0,0,0,9000.0
PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,2012,193000,1.4,Flex,Manual,Hidráulica,Prata,4,0,1,1,1,1,1,0,0,0,0,0,19000.0
PEUGEOT 208 ACTIVE PACK 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,34000,1.6,Flex,Automático,Elétrica,Outra,4,8,1,1,1,0,1,1,1,1,0,0,38500.0
PEUGEOT 208 GT 1.6 THP FLEX 16V 5P MEC.,PEUGEOT,2017,30000,1.6,Flex,Manual,Elétrica,Branco,4,8,1,1,1,0,1,1,1,1,1,0,62000.0
