Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Vidro elétrico,Trava elétrica,Ar condicionado,Direção hidráulica,Som,Air bag,Alarme,Sensor de ré,Câmera de ré,Blindado,Valor
CITROEN C3 XTR 1.6 FLEX 16V 5P,CITROEN,Hatch,2010,1,1.6,Flex,Manual,Elétrica,Preto,4,4,1,1,1,0,0,1,1,0,0,0,19400
FORD FUSION TITANIUM 2.0 GTDI ECO. AWD AUT.,FORD,Sedã,2013,89000,2,Gasolina,Automático,Elétrica,Vermelho,4,8,1,1,1,1,1,1,1,1,1,0,78500
VW - VOLKSWAGEN GOL 1.6 MSI FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2019,61000,1.6,Flex,Manual,Hidráulica,Branco,4,1,1,1,1,1,1,1,1,0,0,0,42990
FORD FIESTA SED. 1.6 8V FLEX 4P,FORD,Passeio,2008,0,1.6,Flex,Manual,Hidráulica,Prata,4,4,1,1,1,1,1,1,1,0,0,0,14000
VW - VOLKSWAGEN VOYAGE 1.6 MSI FLEX 16V 4P AUT,VW - VOLKSWAGEN,Sedã,2019,65000,1.6,Flex,Automático,Hidráulica,Preto,4,8,1,1,1,1,1,1,1,1,0,0,62500
GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,Hatch,2007,190,1,Flex,Manual,Mecânica,Prata,4,4,0,1,1,0,1,0,1,0,0,0,16000
FORD FIESTA CLASS 1.6 8V 98CV 5P,FORD,Passeio,1996,210000,1.6,Gasolina,Manual,Hidráulica,Verde,4,0,1,1,1,1,0,0,1,0,0,0,7300
FIAT,FIAT,Sedã,2012,170,1.6,Flex,Manual,Hidráulica,Preto,4,null,1,1,1,1,1,0,1,0,0,0,31000
FORD RANGER XLT 3.2 20V 4X4 CD DIESEL AUT.,FORD,Pick-up,2017,102000,3,Diesel,Automático,Elétrica,Branco,4,0,1,1,1,1,1,1,1,1,1,0,136900
VW - VOLKSWAGEN GOL COMFORTLINE 1.6 T. FLEX 8V 5P,VW - VOLKSWAGEN,Passeio,2015,70000,1.6,Flex,Manual,Hidráulica,Branco,4,0,1,1,1,1,1,1,1,1,0,0,38000
VW - VOLKSWAGEN FOX TRENDLINE 1.6 FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2013,79000,1.6,Flex,Manual,Hidráulica,Prata,4,6,1,1,1,1,1,0,1,0,0,0,32000
GM - CHEVROLET CORSA HATCHBACK 1.8 MPFI 8V 102CV 5P,GM - CHEVROLET,Hatch,2003,18000000,1.8,Gasolina,Manual,Hidráulica,Prata,4,9,0,0,0,1,0,0,0,0,0,0,8000
MITSUBISHI PAJERO IO SE 1.8 16V MEC.,MITSUBISHI,SUV,2000,244239,1.8,Gasolina,Manual,Hidráulica,Vermelho,4,0,1,1,1,1,1,1,1,0,0,0,18500
RENAULT CAPTUR INTENSE 1.6 16V FLEX 5P AUT.,RENAULT,null,2019,35792,1.6,Flex,Automático,Elétrica,Cinza,4,8,1,1,1,0,0,0,1,0,0,0,71990
VW - VOLKSWAGEN GOL SPECIAL/ SPECIAL XTREME 1.0 MI 2P,VW - VOLKSWAGEN,Hatch,2000,251834,1,Gasolina,Manual,Mecânica,Azul,2,1,0,0,0,0,1,0,0,0,0,0,13200
VW - VOLKSWAGEN AMAROK HIGHLINE CD 2.0 16V TDI 4X4 DIES.,VW - VOLKSWAGEN,Pick-up,2011,200000,2,Diesel,Manual,Hidráulica,Azul,4,6,1,1,1,1,1,1,1,0,0,0,62000
GM - CHEVROLET ASTRA GL 1.8 MPFI 3P,GM - CHEVROLET,Hatch,2000,169000,1.8,Gasolina,Manual,Hidráulica,Azul,2,0,1,1,1,1,0,0,1,1,1,0,13200
