tensor(46416.7461)
tensor(43626.8984)
tensor(45531.7539)
tensor(44591.5898)
tensor(45299.5781)
tensor(44780.2969)
tensor(44834.0391)
tensor(45257.9102)
tensor(45206.6406)
tensor(44712.1680)
tensor(44799.5391)
tensor(45116.3906)
tensor(43995.0742)
tensor(46003.0547)
tensor(45439.2500)
tensor(44145.1133)
tensor(44682.1133)
tensor(44970.7148)
tensor(45145.3086)
tensor(44300.0977)
tensor(43769.2305)
tensor(45890.3164)
tensor(44763.1562)
tensor(44601.6914)
tensor(43807.7305)
tensor(45684.2578)
tensor(44647.5508)
tensor(44569.9141)
tensor(45280.7617)
tensor(43703.1055)
tensor(44989.2617)
tensor(43957.1328)
tensor(43799.2852)
tensor(45304.0117)
tensor(44175.9805)
tensor(44730.7617)
tensor(44411.3594)
tensor(44321.4180)
tensor(44627.5781)
tensor(43932.6562)
tensor(43669.8398)
tensor(44963.5039)
tensor(44872.2539)
tensor(43335.5352)
tensor(43871.8867)
tensor(44362.5742)
tensor(44320.3594)
tensor(43557.8320)
tensor(44431.1406)
tensor(43126.0898)
tensor(43671.0039)
tensor(43725.7422)
tensor(43632.3398)
tensor(43443.3281)
tensor(43425.5547)
tensor(43326.5117)
tensor(42494.5781)
tensor(44086.2148)
tensor(42834.9648)
tensor(43269.1641)
tensor(42725.6562)
tensor(42995.0742)
tensor(43029.9805)
tensor(42184.0039)
tensor(42074.3594)
tensor(42912.4531)
tensor(42099.7344)
tensor(42425.2695)
tensor(41406.4062)
tensor(42790.5469)
tensor(41833.4648)
tensor(41776.8281)
tensor(42058.8516)
tensor(40989.6289)
tensor(42249.0781)
tensor(40223.6367)
tensor(41106.1367)
tensor(41081.9336)
tensor(40793.9961)
tensor(40896.7031)
tensor(39465.4336)
tensor(41939.6875)
tensor(41233.1758)
tensor(39150.6719)
tensor(39415.5508)
tensor(40755.7578)
tensor(40214.9336)
tensor(39126.7578)
tensor(39232.2734)
tensor(39651.5898)
tensor(39490.0820)
tensor(38633.5000)
tensor(39705.4141)
tensor(37639.2305)
tensor(38676.5742)
tensor(38165.3672)
tensor(38580.3789)
tensor(37481.7266)
tensor(38909.2266)
tensor(36236.5547)
tensor(35917.9961)
tensor(39019.9297)
tensor(35986.3984)
tensor(37957.1875)
tensor(37051.8633)
tensor(35607.4336)
tensor(37302.8047)
tensor(34149.9531)
tensor(35331.7930)
tensor(35295.9453)
tensor(35592.5547)
tensor(33442.7188)
tensor(34935.5781)
tensor(32685.3574)
tensor(32065.3730)
tensor(34515.5156)
tensor(32611.6133)
tensor(32036.6035)
tensor(31310.1895)
tensor(31764.4395)
tensor(30911.5254)
tensor(30320.6309)
tensor(32151.0078)
tensor(26736.4023)
tensor(28862.0645)
tensor(28744.1367)
tensor(27693.7266)
tensor(28090.7773)
tensor(28264.3652)
tensor(25437.3301)
tensor(25976.0352)
tensor(26573.2559)
tensor(23465.2793)
tensor(27917.7227)
tensor(23368.2480)
tensor(26527.)
tensor(25409.9375)
tensor(22594.8262)
tensor(22397.6230)
tensor(24991.3105)
tensor(22658.7695)
tensor(23561.1211)
tensor(23946.0273)
tensor(20898.4922)
tensor(20941.6895)
tensor(23557.0625)
tensor(20529.6543)
tensor(23042.3516)
tensor(20842.3926)
tensor(21700.0215)
tensor(21170.2930)
tensor(20555.6172)
tensor(22432.9258)
tensor(18258.5742)
tensor(21074.5117)
tensor(19175.4395)
tensor(20943.2422)
tensor(18794.0020)
