modelo,marca,combustivel,cambio,direcao,cor,ano,quilometragem,potenciamotor,blindado,valor
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Flex,Automático,Elétrica,Preto,2018,40000,1.4,0,103000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Cinza,2016,45000,1.4,0,81000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Branco,2016,77000,1.4,0,89800
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Flex,Automático,Elétrica,Preto,2017,65000,1.4,0,100000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Gasolina,Automático,Hidráulica,Branco,2016,80000,1.4,0,89000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Flex,Automático,Elétrica,Azul,2018,28553,1.4,0,132000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Flex,Automático,Elétrica,Branco,2018,19982,1.4,0,128000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Branco,2016,59500,1.4,0,91000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Branco,2016,80000,1.4,0,93500
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Flex,Automático,Elétrica,Branco,2018,20000,1.4,0,128000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Flex,Automático,Elétrica,Branco,2018,59065,1.4,0,135000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Branco,2016,59500,1.4,0,91000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Flex,Automático,Elétrica,Branco,2018,59065,1.4,0,133000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Branco,2016,63000,1.4,0,88000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Flex,Automático,Elétrica,Branco,2018,59065,1.4,0,128000
AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Preto,2017,60000,1.4,0,99000
AUDI Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,AUDI,Gasolina,Automático,Elétrica,Branco,2015,87000,2.0,0,93000
