tensor(38942.9414)
tensor(40258.5859)
tensor(40551.5508)
tensor(39898.1953)
tensor(40780.6367)
tensor(39770.9414)
tensor(39033.8477)
tensor(40703.5117)
tensor(39468.5664)
tensor(40316.5586)
tensor(41113.2695)
tensor(40684.6641)
tensor(40493.5391)
tensor(38964.6836)
tensor(39103.2539)
tensor(39930.2852)
tensor(38886.0039)
tensor(38786.9141)
tensor(39559.2383)
tensor(40071.5078)
tensor(39121.8008)
tensor(39066.1953)
tensor(39775.1562)
tensor(40040.5898)
tensor(40045.9922)
tensor(40237.1367)
tensor(39993.6094)
tensor(39554.7500)
tensor(39605.9453)
tensor(39140.4414)
tensor(40357.1289)
tensor(39331.4688)
tensor(40708.4961)
tensor(39176.5508)
tensor(39232.1211)
tensor(39589.7852)
tensor(39173.4062)
tensor(39326.9844)
tensor(39186.8633)
tensor(39460.2734)
tensor(39588.1133)
tensor(39598.2773)
tensor(38049.3086)
tensor(41382.5508)
tensor(39573.7617)
tensor(38584.8594)
tensor(38300.8008)
tensor(39544.1562)
tensor(39612.3359)
tensor(39126.6641)
tensor(39061.4766)
tensor(39469.2891)
tensor(39197.8203)
tensor(41135.3242)
tensor(38299.9453)
tensor(38761.2578)
tensor(39354.1367)
tensor(38449.6211)
tensor(39621.2266)
tensor(39021.9062)
tensor(39529.0273)
tensor(39259.2461)
tensor(37630.3711)
tensor(39412.2148)
tensor(39606.6641)
tensor(38416.6289)
tensor(37167.6211)
tensor(38704.9883)
tensor(38701.2812)
tensor(37416.0938)
tensor(38751.7109)
tensor(38927.7500)
tensor(38827.0469)
tensor(37479.6250)
tensor(38376.3867)
tensor(38175.0234)
tensor(38189.1406)
tensor(38045.6758)
tensor(37485.6016)
tensor(38003.2266)
tensor(37790.5469)
tensor(36924.8281)
tensor(37218.4531)
tensor(38980.8320)
tensor(37911.9688)
tensor(36847.4961)
tensor(37570.2148)
tensor(37156.8594)
tensor(37125.6406)
tensor(37201.9062)
tensor(37134.8477)
tensor(37326.6289)
tensor(35703.7734)
tensor(36932.0273)
tensor(35890.6836)
tensor(36967.9141)
tensor(35840.5273)
tensor(37978.1484)
tensor(36567.9570)
tensor(35822.4531)
tensor(36721.8516)
