Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Vidro elétrico,Trava elétrica,Ar condicionado,Direção hidráulica,Som,Air bag,Alarme,Sensor de ré,Câmera de ré,Blindado,Valor
HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,HYUNDAI,Passeio,2013,120125,1.0,Flex,Manual,Hidráulica,Cinza,0,1,1,1,1,1,1,1,1,1,0,38.500
MITSUBISHI L200 OUTDOOR GLS 2.5 4X4 CD TDI DIESEL,MITSUBISHI,Pick-up,2007,192429,2.0 - 2.9,Diesel,Manual,Hidráulica,Preto,0,1,1,1,1,0,0,1,0,0,0,50.990
GM - CHEVROLET AGILE LTZ 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2014,100000,1.4,Flex,Manual,Hidráulica,Prata,4,1,1,1,0,1,1,1,1,0,0,42.990
FIAT GRAND SIENA ATTRAC. 1.4 EVO F.FLEX 8V,FIAT,Sedã,2014,1200503,1.4,Flex,Manual,Hidráulica,Preto,5,1,1,1,1,1,1,1,1,0,0,36.500
GM - CHEVROLET CLASSIC ADVANTAGE 1.0 VHC FLEXPOWER 4P,GM - CHEVROLET,Sedã,2015,88000,1.0,Flex,Manual,Hidráulica,Branco,0,1,1,1,1,1,1,1,0,0,0,32.000
AUDI A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,AUDI,Sedã,2015,52000,1.6,Gasolina,Automático,Hidráulica,Branco,0,1,1,1,1,1,1,1,1,1,0,74.000
VW - VOLKSWAGEN NIVUS HIGHLINE 1.0 200 TSI FLEX AUT,VW - VOLKSWAGEN,Passeio,2021,25756,1.0,Flex,Automático,Elétrica,Vermelho,8,1,1,1,0,1,1,1,1,1,0,129.900
VW - VOLKSWAGEN GOL TRENDLINE 1.0 T.FLEX 8V 5P,VW - VOLKSWAGEN,Passeio,1975,105125,1.0,Gasolina,Manual,Hidráulica,Prata,3,1,1,1,1,1,1,1,1,0,0,38.000
FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CD,FIAT,Pick-up,2016,47000,1.4,Flex,Manual,Hidráulica,Vermelho,9,1,1,1,0,1,1,1,0,0,0,65.500
FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CD,FIAT,Pick-up,2012,119310,1.4,Flex,Manual,Hidráulica,Prata,0,1,1,1,1,1,1,1,0,0,0,46.000
TOYOTA COROLLA XEI 1.8/1.8 FLEX 16V AUT.,TOYOTA,Sedã,2009,131000,1.8,Flex,Automático,Hidráulica,Prata,1,1,1,1,1,1,1,1,1,0,0,51.000
VW - VOLKSWAGEN GOL TRENDLINE 1.0 T.FLEX 12V 5P,VW - VOLKSWAGEN,Hatch,2018,67200,1.0,Flex,Manual,Hidráulica,Branco,4,1,1,1,1,1,1,0,0,0,0,47.700
FORD RANGER XLS 2.2 4X4 CD DIESEL AUT.,FORD,Pick-up,2017,130000,2.0 - 2.9,Diesel,Automático,Elétrica,Prata,8,1,1,1,0,1,1,1,1,1,0,148.000
JEEP RENEGADE1.8 4X2 FLEX 16V AUT.,JEEP,SUV,2018,50000,1.8,Flex,Automático,Elétrica,Verde,0,1,1,1,1,1,1,1,1,1,0,82.000
HYUNDAI HB20S EVOLUTION 1.0 TB FLEX 12V AUT,HYUNDAI,Sedã,2021,11100,1.0,Flex,Automático,Elétrica,Cinza,8,1,1,1,0,1,1,1,1,1,0,86.000
RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,RENAULT,SUV,2016,126000,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,5,1,1,1,1,1,1,1,1,0,0,62.000
FIAT IDEA ADV./ ADV.LOCK.DUALOGIC 1.8 FLEX 5P,FIAT,SUV,2012,1,1.8,Flex,Automático,Hidráulica,Preto,8,1,1,1,0,1,1,1,1,0,0,28.000
GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2016,130000,1.0,Flex,Manual,Hidráulica,Prata,5,1,1,1,1,1,1,1,0,0,0,47.800
